customer_id,first_name,last_name,email,country,signup_date,customer_segment
C0034,Colton,Newman,vsteele@example.org,France,2025-10-17,bronze
C0035,Patrick,Lee,james30@example.org,Germany,2024-10-02,gold
C0036,Tyler,Rose,brownpatrick@example.org,DE,2025-10-20,silver
C0037,Frances,Mcdaniel,jamesscott@example.net,Germany,2024-12-13,bronze
C0038,Jason,Baker,amiller@example.org,Germany,2024-07-30,silver
C0039,Joseph,Hernandez,justin17@example.com,germany,2024-03-24,silver
C0040,David,Martin,robert94@example.org,France,2025-10-25,silver
C0041,Linda,Reyes,ycobb@example.org,DE,2025-05-04,silver
C0042,Allison,Rodgers,brandon22@example.net,germany,2024-11-02,bronze
C0043,Daniel,David,cheryl23@example.com,France,2025-06-04,silver
C0044,Hannah,Moyer,sgreene@example.net,France,2024-11-09,gold
C0045,Nicole,Allen,veronica46@example.org,France,2025-01-28,bronze
C0046,Claudia,Rivas,aaron18@example.net,IN,2025-01-15,gold
C0047,Nathan,Smith,franciscomorgan@example.com,DE,2024-09-04,gold
C0048,Tammy,Rodriguez,martinezjose@example.com,France,2025-04-25,bronze
C0049,Hannah,Mitchell,gabriella23@example.com,DE,2024-10-04,silver
C0050,Daniel,Perry,thomas79@example.com,India,2025-03-24,silver
C0051,Sharon,Smith,kpayne@example.com,France,2024-12-21,gold
C0052,Jane,Diaz,rushjustin@example.net,IN,2024-10-20,bronze
C0053,Kimberly,Evans,josephroy@example.org,France,2024-05-22,silver
C0054,James,Harris,jonathan19@example.com,Germany,2024-08-15,bronze
C0055,Stephanie,Fernandez,ashaffer@example.com,Germany,2025-06-01,silver
C0056,Michael,Lloyd,william44@example.com,India,2024-09-24,silver
C0057,Janet,Harper,christopherhernandez@example.net,Germany,2024-04-13,bronze
C0058,Steven,Andrews,hernandezalexis@example.net,IN,2024-07-29,gold
C0059,Linda,Rodriguez,browningchristy@example.com,germany,2024-06-23,bronze
C0060,Robert,Fitzgerald,piercechristopher@example.com,France,2024-07-02,silver
C0061,Christopher,Vaughn,suarezeric@example.com,India,2025-08-26,gold
C0062,Andrew,Richardson,cking@example.com,India,2024-06-21,bronze
C0063,Alice,Robinson,danieljones@example.org,germany,2024-03-20,bronze
C0064,Ricky,Stewart,darrell54@example.net,DE,2025-05-07,gold
C0065,Alex,Nicholson,erika38@example.net,IN,2025-11-09,gold
C0066,Benjamin,Henry,cfernandez@example.net,germany,2026-01-07,gold
C0067,Tracy,Wells,gibsonsteven@example.net,IN,2024-04-24,silver
C0068,Roberto,Nelson,cheyennescott@example.net,IN,2024-07-04,silver
C0069,Michelle,Peters,perkinsjonathan@example.com,germany,2025-02-12,bronze
C0070,Jonathan,Rodriguez,mmatthews@example.org,DE,2025-11-13,gold
C0071,Teresa,Garcia,xjones@example.org,India,2025-08-09,bronze
C0072,Thomas,Bates,flevine@example.com,Germany,2026-02-27,bronze
C0073,James,Hernandez,sheilaoneal@example.com,DE,2024-05-09,gold
C0074,Tara,Edwards,melissastephens@example.net,DE,2024-09-11,gold
C0075,Alexandra,Gonzalez,obailey@example.net,India,2025-11-02,gold
C0076,Alexandra,Robinson,wskinner@example.org,Germany,2025-11-20,silver
C0077,Rebecca,Graham,evansbecky@example.com,India,2026-01-23,gold
C0078,Laura,Avery,shanesalazar@example.com,India,2026-03-08,gold
C0079,Tiffany,Clarke,huntervasquez@example.net,germany,2024-09-29,gold
C0080,Patricia,Oconnor,christie50@example.net,Germany,2025-09-12,gold
C0081,Stephen,Villarreal,gregoryfox@example.com,France,2024-09-30,bronze
C0082,Elizabeth,Medina,tiffanydaniel@example.org,France,2024-09-08,gold
C0083,Daniel,Bowers,jensenlaurie@example.org,germany,2025-01-04,gold
C0084,Amanda,Short,keith34@example.org,germany,2025-06-29,bronze
C0085,Christine,Sanchez,kimberlyshort@example.net,germany,2024-11-22,silver
C0086,Andrew,Curry,jacob10@example.net,DE,2024-04-05,silver
C0087,Timothy,Collins,pauljohnson@example.com,Germany,2026-02-07,gold
C0088,Mary,Johnson,allison50@example.com,France,2024-07-21,silver
C0089,Robert,Martin,isawyer@example.net,IN,2025-11-28,bronze
C0090,Meghan,Vega,lisanunez@example.org,IN,2024-08-05,bronze
C0091,Lucas,Howard,cliffordcruz@example.org,France,2025-06-02,silver
C0092,Elizabeth,Thomas,sstewart@example.net,France,2025-01-05,gold
C0093,Donna,Beck,eduardo80@example.com,IN,2025-08-03,bronze
C0094,Shane,Hubbard,kylereed@example.com,DE,2025-09-26,silver
C0095,Jesus,Johnson,mcclureedgar@example.com,DE,2024-10-29,gold
C0096,Megan,Floyd,derrickblack@example.com,IN,2025-10-31,bronze
C0097,Becky,Blackburn,elizabeth92@example.com,IN,2025-12-13,silver
C0098,Matthew,Barron,susan60@example.net,India,2024-07-22,bronze
C0099,Jose,Harvey,gpatel@example.org,Germany,2025-04-24,silver
C0100,John,Jones,kristinavillanueva@example.com,germany,2024-09-20,bronze
C0101,Sara,Torres,moranmichelle@example.org,Germany,2025-10-31,bronze
C0102,Tyler,Nichols,earnold@example.org,IN,2025-03-19,bronze
C0103,Courtney,Fernandez,heatherthomas@example.com,Germany,2024-09-05,gold
C0104,Katie,Morrison,susan11@example.com,India,2024-09-13,bronze
C0105,Mary,Terrell,vroman@example.net,IN,2025-02-17,bronze
C0106,Kyle,Navarro,ymann@example.net,DE,2024-06-06,gold
C0107,Sierra,Freeman,jessicaguerrero@example.org,India,2024-06-03,gold
C0108,Carolyn,Santiago,bbailey@example.com,DE,2025-09-27,silver
C0109,Marcus,Stewart,calvinperry@example.org,IN,2025-05-22,gold
C0110,Alexis,Hughes,trevorjenkins@example.net,India,2025-07-07,bronze
C0111,Joann,Tran,seansullivan@example.com,IN,2026-01-19,gold
C0112,Lisa,Harris,johnathanlee@example.net,France,2025-10-04,bronze
C0113,Courtney,Pierce,mbarnes@example.net,France,2025-12-03,silver
C0114,Robert,Smith,ashleyhoward@example.net,India,2025-07-01,gold
C0115,Leonard,Martinez,ofrancis@example.net,France,2024-10-22,silver
C0116,Nichole,Wilson,qmathews@example.org,India,2024-11-14,gold
C0117,Elijah,Frost,rnoble@example.net,India,2024-04-05,bronze
C0118,Stephanie,Brewer,jasonhutchinson@example.org,DE,2024-09-13,bronze
C0119,Jonathan,Brown,sara90@example.net,Germany,2026-01-08,silver
C0120,Nathan,Donaldson,creed@example.net,Germany,2025-04-11,gold
C0121,Jacob,Mays,malonedan@example.com,IN,2025-12-27,bronze
C0122,Jamie,Neal,rwilliams@example.org,IN,2025-12-22,bronze
C0123,James,Roberts,john82@example.net,Germany,2025-02-25,bronze
C0124,Christopher,Munoz,joseph21@example.org,France,2024-05-26,gold
C0125,Douglas,Jackson,lindsayscott@example.net,Germany,2025-11-23,bronze
C0126,Faith,Mcfarland,jody14@example.org,Germany,2024-12-28,bronze
C0127,Sandra,Newman,heather45@example.com,germany,2025-10-19,bronze
C0128,Carmen,White,amandakaufman@example.net,IN,2024-04-23,bronze
C0129,Dennis,Myers,michelle01@example.net,germany,2025-08-06,gold
C0130,Steven,Williams,pescobar@example.org,India,2024-05-25,bronze
C0131,Thomas,Liu,angelapotter@example.org,IN,2024-06-23,bronze
C0132,Scott,Clayton,zedwards@example.com,France,2025-01-16,gold
C0133,Alexander,Christensen,bianca28@example.org,IN,2025-11-19,silver
C0134,Jason,Shaw,thomasodom@example.com,DE,2024-05-06,silver
C0135,Nancy,Payne,allenmiller@example.org,India,2024-10-30,bronze
C0136,Kevin,Sawyer,karina05@example.net,Germany,2024-08-16,bronze
C0137,Olivia,Mendez,awilson@example.net,France,2024-04-23,silver
C0138,Jasmine,Woodard,gary27@example.com,germany,2024-08-04,silver
C0139,Shaun,Webb,tiffany48@example.com,India,2025-07-12,silver
C0140,Dakota,Cooper,john39@example.net,France,2024-04-29,bronze
C0141,Jennifer,Castro,anita88@example.net,France,2024-08-04,gold
C0142,Stephanie,Barton,russell07@example.com,France,2024-05-31,bronze
C0143,Catherine,Arias,cross@example.net,Germany,2025-05-28,silver
C0144,Katelyn,Campbell,bcurtis@example.com,France,2025-02-28,silver
C0145,Matthew,Morrow,davidsmith@example.org,Germany,2025-04-07,bronze
C0146,Angela,Curry,cordovasuzanne@example.com,DE,2025-05-04,bronze
C0147,Ricardo,Lopez,ryoder@example.net,IN,2024-03-13,silver
C0148,Mike,Thomas,cjenkins@example.org,DE,2026-01-10,silver
C0149,Jennifer,Smith,dixonrichard@example.com,DE,2024-06-18,silver
C0150,Nancy,Fields,jennifer36@example.net,India,2025-04-20,bronze
C0151,Anne,Allen,emahoney@example.net,Germany,2024-10-16,silver
C0152,Juan,Lopez,stacymoore@example.com,IN,2024-04-12,bronze
C0153,Kevin,Turner,cowannatalie@example.com,Germany,2025-09-25,gold
C0154,Susan,Serrano,martinapril@example.net,IN,2026-01-03,bronze
C0155,Ryan,Cisneros,bmarshall@example.com,Germany,2025-05-16,bronze
C0156,Jonathan,Navarro,jenniferperez@example.com,DE,2025-10-05,silver
C0157,Andrew,Avila,karen82@example.com,India,2024-07-18,silver
C0158,Andrea,West,gmartinez@example.net,DE,2025-02-03,silver
C0159,Susan,Brown,garrett46@example.org,Germany,2024-07-05,bronze
C0160,Kayla,Wilson,taylorbrandon@example.org,India,2024-10-01,bronze
C0161,Alexis,Mayer,langtamara@example.com,India,2024-12-18,silver
C0162,Olivia,Guerra,spatterson@example.net,India,2024-11-02,silver
C0163,Jessica,Chavez,charleshowe@example.org,India,2024-10-31,gold
C0164,Brianna,Moore,nicholasrogers@example.net,France,2025-10-27,gold
C0165,Michael,Cole,trevorcook@example.net,France,2024-05-23,gold
C0166,Kurt,Hurst,taguirre@example.org,India,2024-07-17,bronze
C0167,Frank,Chan,nmichael@example.net,DE,2024-04-01,silver
C0168,Tracy,Ford,zjackson@example.com,DE,2025-11-17,bronze
C0169,Samantha,Clark,maureen51@example.org,IN,2025-08-10,gold
C0170,Michael,Wilkinson,dana71@example.net,IN,2024-03-12,bronze
C0171,William,Ellis,zunigabilly@example.com,France,2025-04-16,silver
C0172,Corey,Wilson,ryanwest@example.com,Germany,2025-03-08,bronze
C0173,Sara,Bailey,xmitchell@example.com,IN,2025-08-14,silver
C0174,Meghan,Sims,birdjohn@example.org,IN,2024-08-04,gold
C0175,James,Palmer,ymontgomery@example.com,DE,2026-02-05,bronze
C0176,Philip,Murray,destinyclark@example.org,IN,2025-03-20,bronze
C0177,Adam,West,moniquehall@example.org,DE,2025-08-02,bronze
C0178,Jason,Smith,brittanypatterson@example.org,IN,2024-04-24,bronze
C0179,Hailey,Simmons,vsanchez@example.com,France,2025-07-27,bronze
C0180,Robert,Martinez,melindapeterson@example.net,India,2024-11-29,bronze
C0181,Stephanie,Bowman,diazdale@example.com,IN,2025-01-11,bronze
C0182,Michael,Wright,lbutler@example.com,IN,2025-03-11,gold
C0183,Rose,Goodman,maurice63@example.net,Germany,2025-03-14,gold
C0184,Kayla,Phillips,beverly28@example.net,Germany,2024-12-05,silver
C0185,Andrea,Martinez,gwalker@example.org,France,2025-08-18,gold
C0186,Raymond,Wilson,ramirezemily@example.org,IN,2024-03-08,gold
C0187,Lori,Stone,moorechristina@example.com,germany,2024-11-13,silver
C0188,Vincent,Jackson,lopezjennifer@example.net,DE,2024-10-31,gold
C0189,Hannah,Russell,norma10@example.com,France,2025-03-10,silver
C0190,Jennifer,Arnold,richardaguilar@example.net,DE,2024-09-04,silver
C0191,Isabella,Davis,gwilliams@example.com,India,2025-01-02,bronze
C0192,Steven,Clark,sandralandry@example.net,France,2026-01-17,gold
C0193,Keith,Williams,patriciabates@example.com,germany,2025-09-24,silver
C0194,Ricardo,Santana,mhamilton@example.net,germany,2025-03-03,bronze
C0195,Denise,Fernandez,alyssa97@example.net,Germany,2025-09-27,silver
C0196,Michelle,Perry,jschneider@example.net,IN,2024-04-27,gold
C0197,Cindy,Johnson,crodriguez@example.org,Germany,2025-03-19,bronze
C0198,Allen,Peters,jeffreymitchell@example.com,IN,2025-11-01,bronze
C0199,Daniel,Mahoney,franceswolfe@example.org,IN,2025-02-22,silver
C0200,Jessica,Stevens,sanchezcharles@example.net,DE,2024-04-13,silver
